year,url,headings,data
1789,/federal-register/electoral-college/votes/1789_1821.html#1788,"Election,President,Main Opponent,Electoral Vote,Popular Vote,Votes for Others,Vice President,Notes","George Washington [F] ,John Adams [F] ,Winner:  69 ,Main Opponent:  34 ,Total/Majority:  69/35 ,no record ,John Jay (9), Robert H. Harrison (6), John Rutledge (6),
      John Hancock (4), George Clinton (3), Samuel Huntington (2), John Milton
      (2), James Armstrong (1), Benjamin Lincoln (1), Edward Telfair (1) ,John Adams ,For all intents and purposes, Washington was unopposed for
      election as President. Under the system then in place, votes for Vice
      President were not differentiated from votes for President. "
1792,/federal-register/electoral-college/votes/1789_1821.html#1792,"Election , ,President,Main Opponent,Electoral Vote,Popular Vote,Votes for Others,Vice President,Notes","George Washington [F] ,John Adams [F] ,Winner:  132 ,Main Opponent:  77 ,Total/Majority:  132/67 ,no record ,George Clinton (50), Thomas Jefferson (4), Aaron Burr (1)
  ,John Adams ,For all intents and purposes, Washington was unopposed for
      election as President. Under the system then in place, votes for Vice
      President were not differentiated from votes for President. "
1796,/federal-register/electoral-college/votes/1789_1821.html#1796,"Election , ,President,Main Opponent,Electoral Vote,Popular Vote,Votes for Others,Vice President","John Adams [F] ,Thomas Jefferson [D-R],Winner:  71 ,Main Opponent:  68 ,Total/Majority:  138/69 ,no record ,Thomas Pinckney (59), Aaron Burr (30), Samuel Adams (15), O.
      Ellsworth (11), George Clinton (7), John Jay (5), James Iredell (3), S.
      Johnston (2), George Washington (2), John Henry (2), Charles C. Pinckney
      (1) ,Thomas Jefferson "
1800,/federal-register/electoral-college/votes/1789_1821.html#1800,"Election , ,President,Main Opponent,Electoral Vote,Popular Vote,Votes for Others,Vice President,Notes","Thomas Jefferson [D-R] ,Aaron Burr [D-R] ,Winner:  73 ,Main Opponent:  73 ,Total/Majority:  138/70 ,no record ,John Adams (65), Charles C. Pinckney (64), John Jay (1)
,Aaron Burr ,Prior to ratification of the 12th Amendment, votes for
      President and Vice President were not listed on separate ballots. Although
      John Adams ran as Jefferson's main opponent in the general election,
      running-mates Jefferson and Burr received the same number of electoral
      votes. The election was decided in the House of Representatives, with 10
      State delegations voting for Jefferson, 4 voting for Burr and 2 making no
      choice. "
,no data,,
1804,/federal-register/electoral-college/votes/1789_1821.html#1804,"Election , , ,President,Main Opponent,Electoral Vote,Popular Vote,Vice President,V.P. Opponents","Thomas Jefferson [D-R] ,Charles C. Pinckney [F] ,Winner:  162 ,Main Opponent:  14 ,Total/Majority:  176/89 ,no record ,George Clinton (162) , Rufus King (14) "
,no data,,
1808,/federal-register/electoral-college/votes/1789_1821.html#1808,"Election, ,President,Main Opponent,Electoral Vote,Popular Vote,Votes for Others,Vice President,V.P. Opponents","James Madison [D-R] ,Charles C. Pinckney [F] ,Winner:  122 ,Main Opponent:  47 ,Total/Majority:  175/88 ,no record ,George Clinton (6) ,George Clinton (113) ,Rufus King (47), John Langdon (9), James Monroe (3), James
      Madison (3) "
,no data,,
1812,/federal-register/electoral-college/votes/1789_1821.html#1812,"Election, ,President,Main Opponent,Electoral Vote,Popular Vote,Vice President,V.P. Opponents","James Madison [D-R] ,De Witt Clinton [F] ,Winner:  128 ,Main Opponent:  89 ,Total/Majority:  217/109 ,no record ,Elbridge Gerry (131) ,Jared Ingersoll (86) "
,no data,,
1816,/federal-register/electoral-college/votes/1789_1821.html#1816,"Election, ,President,Main Opponent,Electoral Vote,Popular Vote,Vice President,V.P. Opponents","James Monroe [D-R] ,Rufus King [F] ,Winner:  183 ,Main Opponent:  34 ,Total/Majority:  217/109 ,no record ,Daniel D. Tompkins (183),John E. Howard (22), James Ross (5), John Marshall (4),
      Robert G. Harper (3) "
,no data,,
1820,/federal-register/electoral-college/votes/1821_1837.html#1820,"Election, ,President,Main Opponent,Electoral Vote,Popular Vote,Vice President,V.P. Opponents,Notes","James Monroe [D-R] ,John Quincy Adams [N-R] ,Winner:  231 ,Main Opponent:  1 ,Total/Majority:  235/118 ,no record ,Daniel D. Tompkins (218) ,Richard Stockton (8), Daniel Rodney (4), Robert G. Harper
      (1), Richard Rush (1) ,235 electors were appointed, but only 232 votes were cast
      due to the deaths of electors from Mississippi, Pennsylvania and
      Tennessee. "
,no data,,
1824,/federal-register/electoral-college/votes/1821_1837.html#1824,"Election, ,President,Main Opponent,Electoral Vote,Popular Vote,Votes for Others,Vice President,V.P. Opponents,Notes","John Quincy Adams [Coalition] ,Andrew Jackson [D-R] ,Winner:  84 ,Main Opponent:  99 ,Total/Majority:  261/131 ,Winner:  113,122 ,Main Opponent:  151,271,William H. Crawford (41), Henry Clay (37) ,John C. Calhoun (182) ,Nathan Sanford (30), Nathaniel Macon (24), Andrew Jackson
      (13), Martin Van Buren (9), Henry Clay (2) ,John Q. Adams received fewer electoral votes and fewer
      popular votes than Andrew Jackson, but won the election in the House of
      Representatives, with 13 State delegations voting for John Q. Adams, 7
      voting for Jackson and 3 voting for Crawford. "
,no data,,
